path,phrase
dataset\SigNN Character Database\A\A_977.jpg,A
dataset\SigNN Character Database\A\A_653.jpg,A
dataset\SigNN Character Database\A\A_485.jpg,A
dataset\SigNN Character Database\A\458.jpg,A
dataset\SigNN Character Database\A\A_1422.jpg,A
dataset\SigNN Character Database\A\A_639.jpg,A
dataset\SigNN Character Database\A\A_75.jpg,A
dataset\SigNN Character Database\A\A_498.jpg,A
dataset\SigNN Character Database\A\A_1236.jpg,A
dataset\SigNN Character Database\A\A_1319.jpg,A
dataset\SigNN Character Database\A\A_985.jpg,A
dataset\SigNN Character Database\A\A_1369.jpg,A
dataset\SigNN Character Database\A\A_471.jpg,A
dataset\SigNN Character Database\A\A_1379.jpg,A
dataset\SigNN Character Database\A\A_545.jpg,A
dataset\SigNN Character Database\A\A_396.jpg,A
dataset\SigNN Character Database\A\A_737.jpg,A
dataset\SigNN Character Database\A\A_1080.jpg,A
dataset\SigNN Character Database\A\314.jpg,A
dataset\SigNN Character Database\A\A_82.jpg,A
dataset\SigNN Character Database\A\A_797.jpg,A
dataset\SigNN Character Database\A\A_595.jpg,A
dataset\SigNN Character Database\A\A_1106.jpg,A
dataset\SigNN Character Database\A\A_1383.jpg,A
dataset\SigNN Character Database\A\A_627.jpg,A
dataset\SigNN Character Database\A\A_1124.jpg,A
dataset\SigNN Character Database\A\A_564.jpg,A
dataset\SigNN Character Database\A\A_1323.jpg,A
dataset\SigNN Character Database\A\A_642.jpg,A
dataset\SigNN Character Database\A\68.jpg,A
dataset\SigNN Character Database\A\A_995.jpg,A
dataset\SigNN Character Database\A\313.jpg,A
dataset\SigNN Character Database\A\A_691.jpg,A
dataset\SigNN Character Database\A\A_741.jpg,A
dataset\SigNN Character Database\A\A_755.jpg,A
dataset\SigNN Character Database\A\A_925.jpg,A
dataset\SigNN Character Database\A\A_830.jpg,A
dataset\SigNN Character Database\A\A_590.jpg,A
dataset\SigNN Character Database\A\A_362.jpg,A
dataset\SigNN Character Database\A\A_115.jpg,A
dataset\SigNN Character Database\A\A_829.jpg,A
dataset\SigNN Character Database\A\A_313.jpg,A
dataset\SigNN Character Database\A\A_158.jpg,A
dataset\SigNN Character Database\A\A_24.jpg,A
dataset\SigNN Character Database\A\A_272.jpg,A
dataset\SigNN Character Database\A\461.jpg,A
dataset\SigNN Character Database\A\325.jpg,A
dataset\SigNN Character Database\A\A_1151.jpg,A
dataset\SigNN Character Database\A\A_330.jpg,A
dataset\SigNN Character Database\A\A_1443.jpg,A
dataset\SigNN Character Database\A\A_443.jpg,A
dataset\SigNN Character Database\A\A_1128.jpg,A
dataset\SigNN Character Database\A\A_57.jpg,A
dataset\SigNN Character Database\A\A_131.jpg,A
dataset\SigNN Character Database\A\A_1495.jpg,A
dataset\SigNN Character Database\A\A_1387.jpg,A
dataset\SigNN Character Database\A\476.jpg,A
dataset\SigNN Character Database\A\A_863.jpg,A
dataset\SigNN Character Database\A\A_628.jpg,A
dataset\SigNN Character Database\A\A_442.jpg,A
dataset\SigNN Character Database\A\A_1347.jpg,A
dataset\SigNN Character Database\A\31.jpg,A
dataset\SigNN Character Database\A\A_824.jpg,A
dataset\SigNN Character Database\A\A_156.jpg,A
dataset\SigNN Character Database\A\A_351.jpg,A
dataset\SigNN Character Database\A\A_1160.jpg,A
dataset\SigNN Character Database\A\A_1448.jpg,A
dataset\SigNN Character Database\A\A_617.jpg,A
dataset\SigNN Character Database\A\463.jpg,A
dataset\SigNN Character Database\A\A_1190.jpg,A
dataset\SigNN Character Database\A\A_1423.jpg,A
dataset\SigNN Character Database\A\279.jpg,A
dataset\SigNN Character Database\A\A_689.jpg,A
dataset\SigNN Character Database\A\A_1165.jpg,A
dataset\SigNN Character Database\A\A_557.jpg,A
dataset\SigNN Character Database\A\A_96.jpg,A
dataset\SigNN Character Database\A\A_329.jpg,A
dataset\SigNN Character Database\A\23.jpg,A
dataset\SigNN Character Database\A\A_1171.jpg,A
dataset\SigNN Character Database\A\A_1450.jpg,A
dataset\SigNN Character Database\A\A_1027.jpg,A
dataset\SigNN Character Database\A\A_295.jpg,A
dataset\SigNN Character Database\A\A_920.jpg,A
dataset\SigNN Character Database\A\A_146.jpg,A
dataset\SigNN Character Database\A\A_765.jpg,A
dataset\SigNN Character Database\A\A_1282.jpg,A
dataset\SigNN Character Database\A\A_1266.jpg,A
dataset\SigNN Character Database\A\177.jpg,A
dataset\SigNN Character Database\A\A_904.jpg,A
dataset\SigNN Character Database\A\A_1212.jpg,A
dataset\SigNN Character Database\A\A_820.jpg,A
dataset\SigNN Character Database\A\A_1267.jpg,A
dataset\SigNN Character Database\A\A_472.jpg,A
dataset\SigNN Character Database\A\221.jpg,A
dataset\SigNN Character Database\A\A_136.jpg,A
dataset\SigNN Character Database\A\A_855.jpg,A
dataset\SigNN Character Database\A\A_1038.jpg,A
dataset\SigNN Character Database\A\516.jpg,A
dataset\SigNN Character Database\A\A_261.jpg,A
dataset\SigNN Character Database\A\A_951.jpg,A
dataset\SigNN Character Database\A\326.jpg,A
dataset\SigNN Character Database\A\A_510.jpg,A
dataset\SigNN Character Database\A\A_457.jpg,A
dataset\SigNN Character Database\A\A_1274.jpg,A
dataset\SigNN Character Database\A\A_592.jpg,A
dataset\SigNN Character Database\A\534.jpg,A
dataset\SigNN Character Database\A\A_20.jpg,A
dataset\SigNN Character Database\A\A_98.jpg,A
dataset\SigNN Character Database\A\A_334.jpg,A
dataset\SigNN Character Database\A\A_708.jpg,A
dataset\SigNN Character Database\A\A_338.jpg,A
dataset\SigNN Character Database\A\A_989.jpg,A
dataset\SigNN Character Database\A\A_1175.jpg,A
dataset\SigNN Character Database\A\260.jpg,A
dataset\SigNN Character Database\A\A_963.jpg,A
dataset\SigNN Character Database\A\A_176.jpg,A
dataset\SigNN Character Database\A\A_1403.jpg,A
dataset\SigNN Character Database\A\A_858.jpg,A
dataset\SigNN Character Database\A\A_823.jpg,A
dataset\SigNN Character Database\A\71.jpg,A
dataset\SigNN Character Database\A\A_101.jpg,A
dataset\SigNN Character Database\A\A_303.jpg,A
dataset\SigNN Character Database\A\A_463.jpg,A
dataset\SigNN Character Database\A\A_965.jpg,A
dataset\SigNN Character Database\A\76.jpg,A
dataset\SigNN Character Database\A\A_361.jpg,A
dataset\SigNN Character Database\A\A_837.jpg,A
dataset\SigNN Character Database\A\A_193.jpg,A
dataset\SigNN Character Database\A\A_1235.jpg,A
dataset\SigNN Character Database\A\A_1150.jpg,A
dataset\SigNN Character Database\A\A_783.jpg,A
dataset\SigNN Character Database\A\A_35.jpg,A
dataset\SigNN Character Database\A\A_650.jpg,A
dataset\SigNN Character Database\A\A_988.jpg,A
dataset\SigNN Character Database\A\A_353.jpg,A
dataset\SigNN Character Database\A\A_529.jpg,A
dataset\SigNN Character Database\A\162.jpg,A
dataset\SigNN Character Database\A\A_992.jpg,A
dataset\SigNN Character Database\A\A_414.jpg,A
dataset\SigNN Character Database\A\A_1112.jpg,A
dataset\SigNN Character Database\A\A_909.jpg,A
dataset\SigNN Character Database\A\A_621.jpg,A
dataset\SigNN Character Database\A\A_753.jpg,A
dataset\SigNN Character Database\A\473.jpg,A
dataset\SigNN Character Database\A\A_582.jpg,A
dataset\SigNN Character Database\A\A_514.jpg,A
dataset\SigNN Character Database\A\A_1337.jpg,A
dataset\SigNN Character Database\A\A_758.jpg,A
dataset\SigNN Character Database\A\A_95.jpg,A
dataset\SigNN Character Database\A\A_791.jpg,A
dataset\SigNN Character Database\A\A_1013.jpg,A
dataset\SigNN Character Database\A\A_652.jpg,A
dataset\SigNN Character Database\A\A_326.jpg,A
dataset\SigNN Character Database\A\A_482.jpg,A
dataset\SigNN Character Database\A\A_1353.jpg,A
dataset\SigNN Character Database\A\A_1232.jpg,A
dataset\SigNN Character Database\A\114.jpg,A
dataset\SigNN Character Database\A\A_327.jpg,A
dataset\SigNN Character Database\A\A_1040.jpg,A
dataset\SigNN Character Database\A\A_1260.jpg,A
dataset\SigNN Character Database\A\A_949.jpg,A
dataset\SigNN Character Database\A\A_1238.jpg,A
dataset\SigNN Character Database\A\A_316.jpg,A
dataset\SigNN Character Database\A\A_1060.jpg,A
dataset\SigNN Character Database\A\A_1120.jpg,A
dataset\SigNN Character Database\A\83.jpg,A
dataset\SigNN Character Database\A\A_805.jpg,A
dataset\SigNN Character Database\A\A_561.jpg,A
dataset\SigNN Character Database\A\A_164.jpg,A
dataset\SigNN Character Database\A\A_1132.jpg,A
dataset\SigNN Character Database\A\228.jpg,A
dataset\SigNN Character Database\A\A_596.jpg,A
dataset\SigNN Character Database\A\A_1210.jpg,A
dataset\SigNN Character Database\A\A_604.jpg,A
dataset\SigNN Character Database\A\A_1395.jpg,A
dataset\SigNN Character Database\A\A_497.jpg,A
dataset\SigNN Character Database\A\A_198.jpg,A
dataset\SigNN Character Database\A\A_1471.jpg,A
dataset\SigNN Character Database\A\A_247.jpg,A
dataset\SigNN Character Database\A\482.jpg,A
dataset\SigNN Character Database\A\86.jpg,A
dataset\SigNN Character Database\A\A_190.jpg,A
dataset\SigNN Character Database\A\A_397.jpg,A
dataset\SigNN Character Database\A\A_224.jpg,A
dataset\SigNN Character Database\A\A_1313.jpg,A
dataset\SigNN Character Database\A\A_12.jpg,A
dataset\SigNN Character Database\A\A_44.jpg,A
dataset\SigNN Character Database\A\A_806.jpg,A
dataset\SigNN Character Database\A\A_846.jpg,A
dataset\SigNN Character Database\A\103.jpg,A
dataset\SigNN Character Database\A\A_581.jpg,A
dataset\SigNN Character Database\A\A_838.jpg,A
dataset\SigNN Character Database\A\A_1166.jpg,A
dataset\SigNN Character Database\A\A_1195.jpg,A
dataset\SigNN Character Database\A\A_236.jpg,A
dataset\SigNN Character Database\A\A_777.jpg,A
dataset\SigNN Character Database\A\A_257.jpg,A
dataset\SigNN Character Database\A\277.jpg,A
dataset\SigNN Character Database\A\A_199.jpg,A
dataset\SigNN Character Database\A\A_311.jpg,A
dataset\SigNN Character Database\A\A_1477.jpg,A
dataset\SigNN Character Database\A\A_320.jpg,A
dataset\SigNN Character Database\A\445.jpg,A
dataset\SigNN Character Database\A\A_1349.jpg,A
dataset\SigNN Character Database\A\A_76.jpg,A
dataset\SigNN Character Database\A\A_1167.jpg,A
dataset\SigNN Character Database\A\A_1298.jpg,A
dataset\SigNN Character Database\A\A_1381.jpg,A
dataset\SigNN Character Database\A\A_1000.jpg,A
dataset\SigNN Character Database\A\A_554.jpg,A
dataset\SigNN Character Database\A\A_915.jpg,A
dataset\SigNN Character Database\A\392.jpg,A
dataset\SigNN Character Database\A\A_939.jpg,A
dataset\SigNN Character Database\A\A_570.jpg,A
dataset\SigNN Character Database\A\A_50.jpg,A
dataset\SigNN Character Database\A\A_587.jpg,A
dataset\SigNN Character Database\A\A_126.jpg,A
dataset\SigNN Character Database\A\A_1497.jpg,A
dataset\SigNN Character Database\A\145.jpg,A
dataset\SigNN Character Database\A\A_435.jpg,A
dataset\SigNN Character Database\A\A_1261.jpg,A
dataset\SigNN Character Database\A\A_45.jpg,A
dataset\SigNN Character Database\A\A_812.jpg,A
dataset\SigNN Character Database\A\A_299.jpg,A
dataset\SigNN Character Database\A\A_664.jpg,A
dataset\SigNN Character Database\A\A_84.jpg,A
dataset\SigNN Character Database\A\49.jpg,A
dataset\SigNN Character Database\A\A_901.jpg,A
dataset\SigNN Character Database\A\A_861.jpg,A
dataset\SigNN Character Database\A\189.jpg,A
dataset\SigNN Character Database\A\A_982.jpg,A
dataset\SigNN Character Database\A\350.jpg,A
dataset\SigNN Character Database\A\A_654.jpg,A
dataset\SigNN Character Database\A\A_369.jpg,A
dataset\SigNN Character Database\A\A_237.jpg,A
dataset\SigNN Character Database\A\A_1185.jpg,A
dataset\SigNN Character Database\A\A_1216.jpg,A
dataset\SigNN Character Database\A\A_341.jpg,A
dataset\SigNN Character Database\A\A_718.jpg,A
dataset\SigNN Character Database\A\A_733.jpg,A
dataset\SigNN Character Database\A\A_751.jpg,A
dataset\SigNN Character Database\A\412.jpg,A
dataset\SigNN Character Database\A\A_133.jpg,A
dataset\SigNN Character Database\A\462.jpg,A
dataset\SigNN Character Database\A\A_1364.jpg,A
dataset\SigNN Character Database\A\A_563.jpg,A
dataset\SigNN Character Database\A\A_477.jpg,A
dataset\SigNN Character Database\A\A_372.jpg,A
dataset\SigNN Character Database\A\A_179.jpg,A
dataset\SigNN Character Database\A\A_232.jpg,A
dataset\SigNN Character Database\A\A_874.jpg,A
dataset\SigNN Character Database\A\A_1397.jpg,A
dataset\SigNN Character Database\A\128.jpg,A
dataset\SigNN Character Database\A\A_567.jpg,A
dataset\SigNN Character Database\A\A_542.jpg,A
dataset\SigNN Character Database\A\A_228.jpg,A
dataset\SigNN Character Database\A\A_29.jpg,A
dataset\SigNN Character Database\A\A_1066.jpg,A
dataset\SigNN Character Database\A\A_132.jpg,A
dataset\SigNN Character Database\A\223.jpg,A
dataset\SigNN Character Database\A\A_1087.jpg,A
dataset\SigNN Character Database\A\A_1342.jpg,A
dataset\SigNN Character Database\A\A_779.jpg,A
dataset\SigNN Character Database\A\358.jpg,A
dataset\SigNN Character Database\A\A_1036.jpg,A
dataset\SigNN Character Database\A\A_253.jpg,A
dataset\SigNN Character Database\A\A_181.jpg,A
dataset\SigNN Character Database\A\A_271.jpg,A
dataset\SigNN Character Database\A\50.jpg,A
dataset\SigNN Character Database\A\A_1048.jpg,A
dataset\SigNN Character Database\A\A_462.jpg,A
dataset\SigNN Character Database\A\A_908.jpg,A
dataset\SigNN Character Database\A\A_960.jpg,A
dataset\SigNN Character Database\A\A_1262.jpg,A
dataset\SigNN Character Database\A\A_919.jpg,A
dataset\SigNN Character Database\A\518.jpg,A
dataset\SigNN Character Database\A\A_1111.jpg,A
dataset\SigNN Character Database\A\A_354.jpg,A
dataset\SigNN Character Database\A\A_1493.jpg,A
dataset\SigNN Character Database\A\A_52.jpg,A
dataset\SigNN Character Database\A\A_1321.jpg,A
dataset\SigNN Character Database\A\A_719.jpg,A
dataset\SigNN Character Database\A\A_116.jpg,A
dataset\SigNN Character Database\A\A_530.jpg,A
dataset\SigNN Character Database\A\A_19.jpg,A
dataset\SigNN Character Database\A\A_130.jpg,A
dataset\SigNN Character Database\A\A_109.jpg,A
dataset\SigNN Character Database\A\A_923.jpg,A
dataset\SigNN Character Database\A\A_1386.jpg,A
dataset\SigNN Character Database\A\A_922.jpg,A
dataset\SigNN Character Database\A\A_493.jpg,A
dataset\SigNN Character Database\A\A_950.jpg,A
dataset\SigNN Character Database\A\A_938.jpg,A
dataset\SigNN Character Database\A\A_778.jpg,A
dataset\SigNN Character Database\A\A_1233.jpg,A
dataset\SigNN Character Database\A\A_364.jpg,A
dataset\SigNN Character Database\A\A_724.jpg,A
dataset\SigNN Character Database\A\A_946.jpg,A
dataset\SigNN Character Database\A\A_1067.jpg,A
dataset\SigNN Character Database\A\A_1279.jpg,A
dataset\SigNN Character Database\A\A_137.jpg,A
dataset\SigNN Character Database\A\384.jpg,A
dataset\SigNN Character Database\A\A_365.jpg,A
dataset\SigNN Character Database\A\A_322.jpg,A
dataset\SigNN Character Database\A\A_523.jpg,A
dataset\SigNN Character Database\A\A_23.jpg,A
dataset\SigNN Character Database\A\A_1287.jpg,A
dataset\SigNN Character Database\A\A_336.jpg,A
dataset\SigNN Character Database\A\A_853.jpg,A
dataset\SigNN Character Database\A\A_1441.jpg,A
dataset\SigNN Character Database\A\A_1458.jpg,A
dataset\SigNN Character Database\A\A_358.jpg,A
dataset\SigNN Character Database\A\A_1068.jpg,A
dataset\SigNN Character Database\A\A_251.jpg,A
dataset\SigNN Character Database\A\A_387.jpg,A
dataset\SigNN Character Database\A\A_743.jpg,A
dataset\SigNN Character Database\A\A_1241.jpg,A
dataset\SigNN Character Database\A\153.jpg,A
dataset\SigNN Character Database\A\122.jpg,A
dataset\SigNN Character Database\A\A_359.jpg,A
dataset\SigNN Character Database\A\A_473.jpg,A
dataset\SigNN Character Database\A\A_348.jpg,A
dataset\SigNN Character Database\A\346.jpg,A
dataset\SigNN Character Database\A\91.jpg,A
dataset\SigNN Character Database\A\A_714.jpg,A
dataset\SigNN Character Database\A\A_1257.jpg,A
dataset\SigNN Character Database\A\A_1425.jpg,A
dataset\SigNN Character Database\A\A_1365.jpg,A
dataset\SigNN Character Database\A\A_107.jpg,A
dataset\SigNN Character Database\A\A_738.jpg,A
dataset\SigNN Character Database\A\A_1376.jpg,A
dataset\SigNN Character Database\A\A_425.jpg,A
dataset\SigNN Character Database\A\119.jpg,A
dataset\SigNN Character Database\A\A_740.jpg,A
dataset\SigNN Character Database\A\A_999.jpg,A
dataset\SigNN Character Database\A\A_465.jpg,A
dataset\SigNN Character Database\A\A_289.jpg,A
dataset\SigNN Character Database\A\A_494.jpg,A
dataset\SigNN Character Database\A\A_456.jpg,A
dataset\SigNN Character Database\A\A_1016.jpg,A
dataset\SigNN Character Database\A\290.jpg,A
dataset\SigNN Character Database\A\A_1320.jpg,A
dataset\SigNN Character Database\A\A_1453.jpg,A
dataset\SigNN Character Database\A\A_852.jpg,A
dataset\SigNN Character Database\A\A_1054.jpg,A
dataset\SigNN Character Database\A\A_154.jpg,A
